fen,move,game_id
8/3k3p/p3p1p1/1p3bB1/2p5/2P3P1/PP3K1P/4R3 w - - 0 29,f2f3,4
8/7p/p1k1p1p1/1p3bB1/2p5/2P2KP1/PP5P/4R3 w - - 2 30,g3g4,4
8/7p/p1k1p1p1/1p4B1/2p3P1/2Pb1K2/PP5P/4R3 w - - 1 31,e1e6,4
8/7p/p3R1p1/1pk3B1/2p3P1/2Pb1K2/PP5P/8 w - - 1 32,e6a6,4
8/7p/R5p1/1pk3B1/2p3P1/2P2K2/PP5P/1b6 w - - 1 33,a2a3,4
8/7p/R5p1/1pk3B1/2p3P1/P1Pb1K2/1P5P/8 w - - 1 34,a6a7,4
8/R7/6p1/1pk3Bp/2p3P1/P1Pb1K2/1P5P/8 w - - 0 35,a7g7,4
8/6R1/6p1/1pk3B1/2p3p1/P1Pb1K2/1P5P/8 w - - 0 36,f3g4,4
8/6R1/1k4p1/1p4B1/2p3K1/P1Pb4/1P5P/8 w - - 1 37,g7g6,4
8/8/1k4b1/1p4B1/2p3K1/P1P5/1P5P/8 w - - 0 38,h2h4,4
8/2k5/6b1/1p4B1/2p3KP/P1P5/1P6/8 w - - 1 39,h4h5,4
8/2k4b/8/1p4BP/2p3K1/P1P5/1P6/8 w - - 1 40,h5h6,4
8/3k3b/7P/1p4B1/2p3K1/P1P5/1P6/8 w - - 1 41,g4f4,4
4k3/7b/7P/1p4B1/2p2K2/P1P5/1P6/8 w - - 3 42,f4e5,4
8/3k3b/7P/1p2K1B1/2p5/P1P5/1P6/8 w - - 5 43,e5d5,4
8/2k4b/7P/1p1K2B1/2p5/P1P5/1P6/8 w - - 7 44,d5c5,4
8/1k5b/7P/1pK3B1/2p5/P1P5/1P6/8 w - - 9 45,c5b5,4
8/2k4b/7P/1K4B1/2p5/P1P5/1P6/8 w - - 1 46,b5c4,4
8/7b/1k5P/6B1/2K5/P1P5/1P6/8 w - - 1 47,b2b4,4
8/7b/k6P/6B1/1PK5/P1P5/8/8 w - - 1 48,a3a4,4
8/7b/1k5P/6B1/PPK5/2P5/8/8 w - - 1 49,a4a5,4
